,countries,Cited by
0,"""Cote dIvoire""",12.0
1,Argentina,25.0
2,Australia,56.0
3,Belgium,8.0
4,Benin,2.0
5,Brazil,646.0
6,Burkina Faso,23.0
7,Cameroon,1.0
8,Canada,533.0
9,China,50.0
10,Cuba,1.0
11,Curaçao,103.0
12,Denmark,92.0
13,Egypt,154.0
14,France,849.0
15,Georgia,120.0
16,Germany,110.0
17,Ghana,44.0
18,Greece,13.0
19,Guadeloupe,186.0
20,Hong Kong,7.0
21,India,95.0
22,Iran,1.0
23,Ireland,62.0
24,Israel,195.0
25,Italy,256.0
26,Jamaica,1221.0
27,Japan,73.0
28,Jersey,35.0
29,Jordan,20.0
30,Kenya,31.0
31,Kuwait,8.0
32,Malawi,16.0
33,Malaysia,46.0
34,Mali,23.0
35,Martinique,28.0
36,Mexico,77.0
37,Monaco,7.0
38,Morocco,5.0
39,Netherlands,270.0
40,New Zealand,1145.0
41,Niger,137.0
42,Nigeria,139.0
43,Norway,32.0
44,Oman,6.0
45,Pakistan,40.0
46,Poland,6.0
47,Portugal,46.0
48,Qatar,10.0
49,Saudi Arabia,53.0
50,Senegal,24.0
51,Singapore,8.0
52,South Africa,27.0
53,Spain,30.0
54,Sweden,44.0
55,Switzerland,60.0
56,Togo,22.0
57,Trinidad and Tobago,67.0
58,Turkey,87.0
59,United Arab Emirates,24.0
60,United Kingdom,1468.0
61,United States,12244.0
62,Zambia,3.0
