,Year,single country,two countries,> 2 countries
0,1954,1,0,0
1,1958,1,0,0
2,1960,1,0,0
3,1963,1,0,0
4,1964,1,0,0
5,1967,3,0,0
6,1969,2,0,0
7,1970,2,0,0
8,1971,5,0,0
9,1972,5,3,0
10,1973,6,0,0
11,1974,9,0,0
12,1975,13,0,0
13,1976,12,3,0
14,1977,14,0,0
15,1978,6,2,0
16,1979,7,1,0
17,1980,10,0,0
18,1981,13,0,0
19,1982,10,0,0
20,1983,11,1,0
21,1984,3,3,0
22,1985,4,0,0
23,1986,7,2,0
24,1987,18,3,0
25,1988,10,0,0
26,1989,7,0,0
27,1990,9,3,0
28,1991,14,3,0
29,1992,5,0,0
30,1993,7,1,0
31,1994,11,0,1
32,1995,8,1,1
33,1996,4,1,1
34,1997,10,0,0
35,1998,4,1,0
36,1999,6,0,0
37,2000,5,0,0
38,2001,7,1,0
39,2002,4,1,0
40,2003,5,1,2
41,2004,7,2,0
42,2005,11,2,1
43,2006,9,2,0
44,2007,6,3,1
45,2008,13,4,0
46,2009,12,3,0
47,2010,9,8,0
48,2011,14,1,1
49,2012,13,2,0
50,2013,12,2,0
51,2014,17,6,0
52,2015,23,4,2
53,2016,24,8,1
54,2017,28,4,3
55,2018,24,6,1
56,2019,34,10,3
57,2020,24,9,3
58,2021,31,11,8
59,2022,40,3,2
60,2023,11,3,1
